Region,Republic of Srpska,Federation BiH,Bosnia and Herzegovina,District Brcko,Year
Nominal GDP (in millions of BAM),16086.00,31843.61,49779.00,548,2006
Nominal GDP (in millions of BAM),7352.00,14082.10,21981.30,547,2007
Nominal GDP (in millions of BAM),8490.60,15827.20,24897.70,580,2008
Nominal GDP (in millions of BAM),8236.30,15428.80,24202.00,537,2009
Nominal GDP (in millions of BAM),8318.20,15901.20,24772.80,553,2010
Nominal GDP (in millions of BAM),8682.40,16401.80,25680.10,596,2011
Nominal GDP (in millions of BAM),8584.97,16554.10,25734.30,595,2012
Nominal GDP (in millions of BAM),8760.80,16928.90,26296.80,607,2013
Nominal GDP (in millions of BAM),8847.12,17791.20,27258.70,620,2014
Nominal GDP (in millions of BAM),9250.03,18688.30,28540.00,602,2015
Nominal GDP (in millions of BAM),9630.56,19537.10,29325.00,157,2016
Nominal GDP (in millions of BAM),10075.73,20540.00,31376.00,760,2017
Nominal GDP (in millions of BAM),10681.64,21946.00,33408.00,780,2018
Nominal GDP (in millions of BAM),11232.78,23130.70,35229.00,866,2019
Nominal GDP (in millions of BAM),11130.30,22255.01,34255.00,870,2020
Nominal GDP (in millions of BAM),12502.00,25229.76,38637.00,905,2021
Nominal GDP (in millions of BAM),14535.00,29354.95,43994.00,104,2022
GDP per capita (in BAM),4535.00,5371.50,5074.00,6516,2006
GDP per capita (in BAM),5107.00,6048.10,5721.00,7436,2007
GDP per capita (in BAM),5907.00,6801.00,6480.00,8040,2008
GDP per capita (in BAM),5739.00,6629.40,6298.00,7489,2009
GDP per capita (in BAM),5805.00,6802.20,6446.00,7662,2010
GDP per capita (in BAM),6073.00,6931.70,6684.00,8013,2011
GDP per capita (in BAM),6006.00,7043.00,6708.60,8472,2012
GDP per capita (in BAM),6146.00,7243.30,6862.40,8614,2013
GDP per capita (in BAM),6225.00,7613.70,7123.00,8800,2014
GDP per capita (in BAM),7921.00,8010.00,7473.00,9000,2015
GDP per capita (in BAM),8320.00,8856.30,8318.50,9180,2016
GDP per capita (in BAM),8739.00,9314.00,8954.00,9507,2017
GDP per capita (in BAM),9305.00,9993.60,9556.00,9770,2018
GDP per capita (in BAM),9832.00,10562.00,10108.00,10847,2019
GDP per capita (in BAM),9797.00,10181.70,9994.00,10892,2020
GDP per capita (in BAM),11080.00,11634.00,11196.00,11953,2021
GDP per capita (in BAM),12975.00,13610.00,12656.00,13854,2022
