NUTS_ID,NUTS_NAME,CNTR_CODE,LEVL_CODE,mean,stdDev,max,min,ln_CISI
RS110,Београдска област,RS,3,0.05833505320722785,0.05319761355455007,0.2740854011197876,0.002225495152004611,-2.8245550311395946
RS121,Западнобачка област,RS,3,0.02606968720746544,0.01991194240811434,0.09174900858710008,0.0020676845568467963,-3.6093407303740923
RS122,Јужнобанатска област,RS,3,0.01929267481549152,0.02044216284873942,0.12136049897678473,3.1828825106533374E-4,-3.897495304582681
RS123,Јужнобачка област,RS,3,0.03331682794590266,0.033975048519443614,0.1982659230414902,2.023821313895108E-4,-3.3721194344525918
RS124,Севернобанатска област,RS,3,0.024732039611023743,0.022719034131376405,0.08828368933006579,0.00167455282222176,-3.6600183860663207
RS125,Севернобачка област,RS,3,0.04164067957845479,0.033958311189793956,0.1212084779185963,0.0027883063926653607,-3.1549465616705277
RS126,Средњобанатска област,RS,3,0.014016190279835222,0.01488832543756804,0.0899439571339322,2.023821313895108E-4,-4.198626307972461
RS127,Сремска област,RS,3,0.027499537539749798,0.024846809387592497,0.1230537884930931,0.001731017557876924,-3.5578674185146317
RS211,Златиборска област,RS,3,0.019949135907423685,0.01704392805844764,0.08232373825850368,5.19079840073056E-4,-3.8656578789336447
RS212,Колубарска област,RS,3,0.0335731211017267,0.02792871653361335,0.1202543642633297,0.001118663977084831,-3.3646787455911804
RS213,Мачванска област,RS,3,0.02047804048549636,0.02321461037996966,0.1404599470211708,0.001731017557876924,-3.8407242385727347
RS214,Моравичка област,RS,3,0.017033022998149086,0.017201172599187887,0.08232373825850368,0.001118663977084831,-4.015550590920983
RS215,Поморавска област,RS,3,0.01786830974126444,0.018077402243310586,0.06793480762315246,4.8367699812444003E-4,-3.970271497473516
RS216,Расинска област,RS,3,0.017900235506524916,0.016417587198326724,0.07128369360298595,2.520589539091605E-4,-3.96858089633148
RS217,Рашка област,RS,3,0.0139381210710353,0.01739813920374891,0.12168236876273303,1.9224757153156217E-4,-4.2038388721774895
RS218,Шумадијска област,RS,3,0.02763424157311968,0.0208986207454765,0.0853653120618819,7.617397831199702E-4,-3.553152019496517
RS222,Браничевска област,RS,3,0.015948865333375268,0.015149976141585525,0.07245391026807928,7.473453765175381E-5,-4.077554389380152
RS223,Зајечарска област,RS,3,0.011318861131565746,0.014932462648342297,0.07866346523891897,1.6799457426921595E-4,-4.396623765769324
RS224,Јабланичка област,RS,3,0.011061293782903873,0.01488381041679045,0.06017916972090725,0.0010986989246992652,-4.417753814589311
RS225,Нишавска област,RS,3,0.03382386516180182,0.03471862238237884,0.19152038029338997,0.0010986989246992652,-3.357452346730166
RS226,Пиротска област,RS,3,0.01753305720899041,0.020662495568668292,0.11987265006852267,0.0,-3.98819926530018
RS227,Подунавска област,RS,3,0.03221773705308241,0.025243381726531833,0.11226920941195555,0.0011480398943157523,-3.4046712971328423
RS228,Пчињска област,RS,3,0.010241729349047737,0.01106490077162639,0.055832869169863256,5.198041716257885E-4,-4.488122589674472
RS229,Топличка област,RS,3,0.011217883001883446,0.019537735281378758,0.12771632223903578,2.520589539091605E-4,-4.404854580681615
MK001,Вардарски,MK,3,0.010841920986804114,0.008885985523251988,0.03521286944354573,0.0,-4.436109417179552
MK002,Источен,MK,3,0.0073918486343211584,0.00841615557420977,0.043437681238752045,0.0,-4.780494444952481
MK003,Југозападен,MK,3,0.01112736716092892,0.01165119306287694,0.047815850710339586,6.136906553446552E-7,-4.4122906314461074
MK004,Југоисточен,MK,3,0.0060029828383518944,0.007627754464737469,0.04537268798236579,0.0,-4.961419100925511
