Year;Country;Region_Code;Region_Name;Level;Indicator;Value;Data_Type;Notes
1995;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;16,48;Actual;
1995;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,7;Actual;
1995;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,28;Actual;
1995;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,84;Actual;
1995;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;50,44;Actual;
1995;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;24,2;Actual;
1995;HR;HR027;Karlova?ka županija;3;KIS Value;22,22;Actual;
1995;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;24,18;Actual;
1995;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;58,42;Actual;
1995;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,12;Actual;
1995;HR;HR033;Zadarska zupanija;3;KIS Value;28,58;Actual;
1995;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17,1;Actual;
1995;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;74,7;Actual;
1995;HR;HR036;Istarska zupanija;3;KIS Value;37,86;Actual;
1995;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,96;Actual;
1995;HR;HR050;Grad Zagreb;3;KIS Value;284,44;Actual;
1995;HR;HR061;Me?imurska županija;3;KIS Value;13,64;Actual;
1995;HR;HR062;Varaždinska županija;3;KIS Value;25,6;Actual;
1995;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,34;Actual;
1995;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,34;Actual;
1995;HR;HR065;Zagreba?ka županija;3;KIS Value;29,66;Actual;
1995;RS;RS110;?????????? ??????;3;KIS Value;534,82;Actual;
1995;RS;RS121;???????????? ??????;3;KIS Value;24,14;Actual;
1995;RS;RS122;????????????? ??????;3;KIS Value;40,56;Actual;
1995;RS;RS123;?????????? ??????;3;KIS Value;133,14;Actual;
1995;RS;RS124;??????????????? ??????;3;KIS Value;20,6;Actual;
1995;RS;RS125;???????????? ??????;3;KIS Value;29,5;Actual;
1995;RS;RS126;?????????????? ??????;3;KIS Value;24,92;Actual;
1995;RS;RS127;??????? ??????;3;KIS Value;22,54;Actual;
1995;RS;RS211;??????????? ??????;3;KIS Value;36,6;Actual;
1995;RS;RS212;?????????? ??????;3;KIS Value;22,58;Actual;
1995;RS;RS213;????????? ??????;3;KIS Value;32,14;Actual;
1995;RS;RS214;????????? ??????;3;KIS Value;23,1;Actual;
1995;RS;RS215;?????????? ??????;3;KIS Value;29,58;Actual;
1995;RS;RS216;???????? ??????;3;KIS Value;26,06;Actual;
1995;RS;RS217;????? ??????;3;KIS Value;34,1;Actual;
1995;RS;RS218;?????????? ??????;3;KIS Value;70,12;Actual;
1995;RS;RS221;?????? ??????;3;KIS Value;19,04;Actual;
1995;RS;RS222;??????????? ??????;3;KIS Value;21,18;Actual;
1995;RS;RS223;?????????? ??????;3;KIS Value;23,52;Actual;
1995;RS;RS224;?????????? ??????;3;KIS Value;29,38;Actual;
1995;RS;RS225;???????? ??????;3;KIS Value;58,58;Actual;
1995;RS;RS226;???????? ??????;3;KIS Value;10,8;Actual;
1995;RS;RS227;?????????? ??????;3;KIS Value;27,64;Actual;
1995;RS;RS228;??????? ??????;3;KIS Value;14,26;Actual;
1995;RS;RS229;???????? ??????;3;KIS Value;9,78;Actual;
1995;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,56;Actual;
1995;SI;SI031;Pomurska;3;KIS Value;17,14;Actual;
1995;SI;SI032;Podravska;3;KIS Value;67,76;Actual;
1995;SI;SI033;Koroska;3;KIS Value;11,8;Actual;
1995;SI;SI034;Savinjska;3;KIS Value;43,42;Actual;
1995;SI;SI035;Zasavska;3;KIS Value;8,18;Actual;
1995;SI;SI036;Posavska;3;KIS Value;10,76;Actual;
1995;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;23,28;Actual;
1995;SI;SI038;Primorsko-notranjska;3;KIS Value;9,56;Actual;
1995;SI;SI041;Osrednjeslovenska;3;KIS Value;175,7;Actual;
1995;SI;SI042;Gorenjska;3;KIS Value;31,2;Actual;
1995;SI;SI043;Goriska;3;KIS Value;20,22;Actual;
1995;SI;SI044;Obalno-kraska;3;KIS Value;22,9;Actual;
1996;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;16,38;Actual;
1996;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,7;Actual;
1996;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,28;Actual;
1996;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,72;Actual;
1996;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;50,16;Actual;
1996;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;24,06;Actual;
1996;HR;HR027;Karlova?ka županija;3;KIS Value;22,08;Actual;
1996;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;24,04;Actual;
1996;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;58,36;Actual;
1996;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,12;Actual;
1996;HR;HR033;Zadarska zupanija;3;KIS Value;28,56;Actual;
1996;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17,08;Actual;
1996;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;75,18;Actual;
1996;HR;HR036;Istarska zupanija;3;KIS Value;37,84;Actual;
1996;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,94;Actual;
1996;HR;HR050;Grad Zagreb;3;KIS Value;284,16;Actual;
1996;HR;HR061;Me?imurska županija;3;KIS Value;13,64;Actual;
1996;HR;HR062;Varaždinska županija;3;KIS Value;25,58;Actual;
1996;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,32;Actual;
