NUTS_ID,NUTS_NAME,CNTR_CODE,UHII_2000,UHII_2001,UHII_2002,UHII_2003,UHII_2004,UHII_2005,UHII_2006,UHII_2007,UHII_2008,UHII_2009,UHII_2010,UHII_2011,UHII_2012,UHII_2013,UHII_2014,UHII_2015,UHII_2016,UHII_2017,UHII_2018,UHII_2019,UHII_2020,UHII_2021,UHII_2022,ln_UHII_2000,ln_UHII_2001,ln_UHII_2002,ln_UHII_2003,ln_UHII_2004,ln_UHII_2005,ln_UHII_2006,ln_UHII_2007,ln_UHII_2008,ln_UHII_2009,ln_UHII_2010,ln_UHII_2011,ln_UHII_2012,ln_UHII_2013,ln_UHII_2014,ln_UHII_2015,ln_UHII_2016,ln_UHII_2017,ln_UHII_2018,ln_UHII_2019,ln_UHII_2020,ln_UHII_2021,ln_UHII_2022
RS110,Београдска област,RS,0.0745408703390221,0.0745408703390221,0.0651219943080885,0.085166421183807,0.095349250510144,0.0803028011591272,0.0686060824771266,0.063555395167738,0.102442090135815,0.1048279574291808,0.0889604184459912,0.0780303069047168,0.0996284210216128,0.0948364555684549,0.0902054896104493,0.074477896510878,0.1004721709378978,0.1161969079388133,0.0931710006145146,0.0697058808487569,0.1027866024009897,0.0970484010371651,0.0970484010371651,-2.5964,-2.5964,-2.7315,-2.4631,-2.3502,-2.522,-2.6794,-2.7558,-2.2785,-2.2554,-2.4196,-2.5507,-2.3063,-2.3556,-2.4057,-2.5973,-2.2979,-2.1525,-2.3733,-2.6635,-2.2751,-2.3325,-2.3325
RS121,Западнобачка област,RS,0.004451943246518,0.004451943246518,0.0051944152869821,0.0048942514930815,0.0059679633487823,0.0046878154092204,0.0037289555161006,0.0020794863807514,0.0051370776960107,0.0037941859147544,0.0069162176663512,0.0022998898411277,0.0022663863047952,0.0050310381708502,0.0047998123851836,0.0029176235930369,0.0046558144603172,0.0053151490673151,0.0055405280980554,0.0037011286499905,0.0055730289918944,0.0043036458154433,0.0043036458154433,-5.4144,-5.4144,-5.2602,-5.3197,-5.1213,-5.3628,-5.5916,-6.1756,-5.2713,-5.5743,-4.9739,-6.0749,-6.0896,-5.2921,-5.3392,-5.837,-5.3696,-5.2372,-5.1957,-5.5991,-5.1898,-5.4483,-5.4483
RS122,Јужнобанатска област,RS,0.0078897742120996,0.0078897742120996,0.0042138480971971,0.007290719053596,0.0088605138396948,0.0080951722935348,0.0054151768749784,0.0046497334208496,0.0114149634631713,0.0074714132725325,0.006595588489308,0.0059707123545208,0.0094765968017082,0.008109533515275,0.006276684163146,0.0047180390687489,0.0079551637475386,0.0063836494282654,0.002706488991678,0.0036325007772826,0.0047438578970343,0.0062593705738073,0.0062593705738073,-4.8422,-4.8422,-5.4694,-4.9212,-4.7262,-4.8165,-5.2185,-5.3709,-4.4728,-4.8967,-5.0214,-5.1209,-4.6589,-4.8147,-5.0709,-5.3564,-4.8339,-5.054,-5.9121,-5.6178,-5.3509,-5.0737,-5.0737
RS123,Јужнобачка област,RS,0.0242761447884138,0.0242761447884138,0.0232948349310075,0.0284154917912531,0.030055911709167,0.0232905780772405,0.0173559970113441,0.0188865783794528,0.0278383454376574,0.0222208363503849,0.0230022432666505,0.0120171361062062,0.022521576736554,0.0135632572799681,0.0212562598080278,0.0099611507499216,0.0200633691770902,0.0218977904533386,0.0157953975670794,0.0112387070398985,0.0235818453514171,0.0145640910510698,0.0145640910510698,-3.7183,-3.7183,-3.7595,-3.5608,-3.5047,-3.7597,-4.0538,-3.9693,-3.5813,-3.8067,-3.7722,-4.4214,-3.7933,-4.3004,-3.8511,-4.6091,-3.9089,-3.8214,-4.148,-4.4884,-3.7473,-4.2292,-4.2292
RS124,Севернобанатска област,RS,0.0041498338195944,0.0041498338195944,0.0027883109284927,0.0035541164152479,0.0048408454784558,0.0045564210094787,0.0031263936285725,0.002920318377477,0.0058833194204342,0.0035365041816936,0.0046391107922596,0.003476200778442,0.0053378224908453,0.00535909566836,0.0036285383195819,0.0032565604016335,0.0044130157637569,0.004641873812386,0.0034007343561525,0.0019241911679163,0.0046684463982908,0.0041392949936014,0.0041392949936014,-5.4847,-5.4847,-5.8823,-5.6396,-5.3307,-5.3912,-5.7679,-5.8361,-5.1356,-5.6446,-5.3732,-5.6618,-5.2329,-5.229,-5.6189,-5.7271,-5.4232,-5.3726,-5.6838,-6.2532,-5.3669,-5.4872,-5.4872
RS125,Севернобачка област,RS,0.0123026958653805,0.0123026958653805,0.0091660752223357,0.0112438378364336,0.0127091438813987,0.0130607179896495,0.0103653798310662,0.0095007223744237,0.0155518662943154,0.008481180297862,0.0145197483978874,0.0110281916912585,0.0122177622750126,0.0094360084167111,0.0144338502856526,0.009753541894258,0.0141746497533136,0.0147154189471917,0.0093168789512492,0.0114826060631493,0.0138963612057412,0.0152000092919531,0.0152000092919531,-4.3979,-4.3979,-4.6922,-4.4879,-4.3654,-4.3381,-4.5693,-4.6564,-4.1636,-4.7699,-4.2322,-4.5073,-4.4049,-4.6632,-4.2382,-4.6301,-4.2563,-4.2189,-4.6759,-4.4669,-4.2761,-4.1865,-4.1865
RS126,Средњобанатска област,RS,0.0093900856606598,0.0093900856606598,0.0077428041424966,0.0077702405902807,0.0105702879690264,0.0084593555440049,0.007769375745731,0.0071131376658501,0.0128244360873765,0.0106210068039583,0.0103127881353291,0.0100125078293037,0.0115439620909087,0.0134889983352882,0.0122309579123487,0.0082825772543546,0.0106723904991019,0.0106030896106662,0.0093656354979313,0.0086746890559307,0.0098710700015608,0.0115137172415128,0.0115137172415128,-4.6681,-4.6681,-4.861,-4.8575,-4.5497,-4.7725,-4.8576,-4.9458,-4.3564,-4.5449,-4.5744,-4.6039,-4.4616,-4.3059,-4.4038,-4.7936,-4.5401,-4.5466,-4.6707,-4.7473,-4.6181,-4.4642,-4.4642
RS127,Сремска област,RS,0.0081310272942268,0.0081310272942268,0.0052734271026181,0.0074429972101476,0.0071869009447713,0.0057879481859839,0.005736565230031,0.0041102677122122,0.0076686171989683,0.0060029930871878,0.0057802210513084,0.0034810972587363,0.0067725758397124,0.0051016713152781,0.0065571844532964,0.004873092342654,0.0070890571852471,0.0077263076966971,0.0062209132361418,0.0044080190691579,0.0094392913677994,0.0069541715279807,0.0069541715279807,-4.8121,-4.8121,-5.2451,-4.9005,-4.9355,-5.152,-5.1609,-5.4943,-4.8706,-5.1155,-5.1533,-5.6604,-4.9949,-5.2782,-5.0272,-5.324,-4.9492,-4.8631,-5.0798,-5.4243,-4.6629,-4.9684,-4.9684
RS211,Златиборска област,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103
RS212,Колубарска област,RS,0.0050991871708523,0.0050991871708523,0.0059397292922543,0.005288587407894,0.006724845466147,0.0045486687656112,0.0059836505419434,0.0056269413476521,0.006048052094062,0.0051891766488292,0.004466174543278,0.0057181191723361,0.004913731805202,0.0067852716138138,0.0074527110930711,0.0046777035453152,0.0063334156023294,0.0070404746261777,0.0057547441888337,0.0054861667692879,0.0080442973591886,0.0079642637240164,0.0079642637240164,-5.2787,-5.2787,-5.1261,-5.2422,-5.0019,-5.3929,-5.1187,-5.1802,-5.108,-5.2612,-5.4112,-5.1641,-5.3157,-4.993,-4.8992,-5.3649,-5.0619,-4.9561,-5.1577,-5.2055,-4.8228,-4.8328,-4.8328
RS213,Мачванска област,RS,0.0054226520551767,0.0054226520551767,0.0049241671794216,0.0063952087575937,0.0073256909600124,0.004661641214112,0.0040527575851313,0.0035680535148093,0.0067484122881637,0.005820402879099,0.0069465032351197,0.0045954845353271,0.0053148911254239,0.0053646551353766,0.0072941601046883,0.0049874422229228,0.0052893853272497,0.0052322867527646,0.0092827409177184,0.0071843313150795,0.0064681444403043,0.0063943675405356,0.0063943675405356,-5.2172,-5.2172,-5.3136,-5.0522,-4.9164,-5.3684,-5.5084,-5.6357,-4.9984,-5.1464,-4.9695,-5.3827,-5.2372,-5.2279,-4.9207,-5.3008,-5.2421,-5.2529,-4.6796,-4.9359,-5.0409,-5.0523,-5.0523
RS214,Моравичка област,RS,0.0115697630546332,0.0115697630546332,0.0164256707765193,0.0144061273769997,0.0178831025505583,0.014864164708292,0.0113793112596211,0.011562063745095,0.0148461279925969,0.0123792635073951,0.0151996750490492,0.015248572211543,0.0143131225475399,0.0183875358436462,0.0148923275731965,0.0128661203533864,0.0174329936047389,0.0141275137715061,0.0123199328403259,0.0162449535919106,0.0165394803185797,0.0175516950271657,0.0175516950271657,-4.4594,-4.4594,-4.1089,-4.2401,-4.0239,-4.2088,-4.476,-4.46,-4.21,-4.3917,-4.1865,-4.1833,-4.2466,-3.9961,-4.2069,-4.3532,-4.0494,-4.2596,-4.3965,-4.12,-4.102,-4.0426,-4.0426
RS215,Поморавска област,RS,0.0186157264548089,0.0186157264548089,0.0185366265314835,0.0180409318686808,0.0217399426558361,0.0151492368111768,0.0167133390226514,0.015839334870143,0.0194780662270591,0.0164651295100421,0.0184687339012244,0.0161207952154952,0.023248308257961,0.0205514822581736,0.0191379121937004,0.0192964112064089,0.0174962273576412,0.0233335223990883,0.0235471300941284,0.024891321881846,0.0210114442337231,0.0214068209373845,0.0214068209373845,-3.9837,-3.9837,-3.988,-4.0151,-3.8286,-4.1898,-4.0915,-4.1453,-3.9385,-4.1065,-3.9917,-4.1276,-3.7615,-3.8848,-3.9561,-3.9478,-4.0458,-3.7579,-3.7488,-3.6932,-3.8627,-3.844,-3.844
RS216,Расинска област,RS,0.0152951352771786,0.0152951352771786,0.0202503174073472,0.0167649720978273,0.0248426054680229,0.0201259703715058,0.0185538179807513,0.0167669110159748,0.0192530408479509,0.0133413079896201,0.0142204289890617,0.018357236172188,0.0219005125782671,0.0203971707306391,0.0216872693827944,0.0191057295399742,0.0172719216366841,0.0197696127273324,0.0226581566528687,0.0233411437518476,0.0203774656817709,0.0241539564879394,0.0241539564879394,-4.1802,-4.1802,-3.8996,-4.0885,-3.6952,-3.9057,-3.9871,-4.0883,-3.9501,-4.3169,-4.2531,-3.9977,-3.8212,-3.8924,-3.831,-3.9578,-4.0587,-3.9236,-3.7872,-3.7575,-3.8933,-3.7233,-3.7233
RS217,Рашка област,RS,0.006069407171876,0.006069407171876,0.0063365665147904,0.0063535369354519,0.0074817648855437,0.0061483093284438,0.0081735605367533,0.0056480401459517,0.0074295790420279,0.0048177575137836,0.0064898777664473,0.0076527954839701,0.0082294119177486,0.0064256978877526,0.010433397985049,0.0089097972015533,0.0090724477749014,0.0079720986627228,0.0092031368644983,0.0083866645029482,0.0099073187258292,0.0100238068073508,0.0100238068073508,-5.1045,-5.1045,-5.0614,-5.0587,-4.8953,-5.0916,-4.8069,-5.1764,-4.9023,-5.3354,-5.0375,-4.8727,-4.8,-5.0475,-4.5627,-4.7206,-4.7025,-4.8318,-4.6882,-4.7811,-4.6145,-4.6028,-4.6028
RS218,Шумадијска област,RS,0.0191628747691461,0.0191628747691461,0.0224826762808814,0.0216117901468602,0.0259662961322751,0.0218606307423942,0.0181178979580783,0.0159577262633374,0.0234845946040967,0.0211558933683182,0.0197293867013306,0.0215557639698553,0.0258991255784843,0.0192556861470689,0.0281412809721191,0.02099556840639,0.0237562692953474,0.0237498727184098,0.0251594854003882,0.0189107265936218,0.0255996776517818,0.0267179764935276,0.0267179764935276,-3.9548,-3.9548,-3.795,-3.8345,-3.651,-3.8231,-4.0109,-4.1378,-3.7514,-3.8558,-3.9256,-3.8371,-3.6535,-3.9499,-3.5705,-3.8634,-3.7399,-3.7402,-3.6825,-3.968,-3.6652,-3.6224,-3.6224
RS222,Браничевска област,RS,0.0056920009469837,0.0056920009469837,0.0051578799402216,0.0045662309061943,0.0066760131985854,0.0057215149202779,0.0065223410473047,0.0049865165796132,0.0081466025791288,0.005674275828734,0.0068922029208528,0.0060239144537282,0.0070670878771288,0.0067835994258911,0.0059202758090052,0.0060542905077403,0.0075167987881567,0.0057640345944986,0.006164513498801,0.0052621961144074,0.0073249475728834,0.006296235739757,0.006296235739757,-5.1687,-5.1687,-5.2672,-5.3891,-5.0092,-5.1635,-5.0325,-5.301,-4.8102,-5.1718,-4.9774,-5.112,-4.9523,-4.9932,-5.1294,-5.107,-4.8906,-5.1561,-5.0889,-5.2472,-4.9165,-5.0678,-5.0678
RS223,Зајечарска област,RS,0.0053136931824619,0.0053136931824619,0.0053008361834656,0.0054802902510333,0.006523364728009,0.0054103385773918,0.0044726057648264,0.0041968056092827,0.0065661458338213,0.0057479933897995,0.0052355167173006,0.0056252234571648,0.0061127706493039,0.005471875085986,0.0072036456453442,0.0059925640847184,0.006218207934021,0.0066621279536703,0.0064566630038929,0.0054106854117536,0.0071601652285267,0.0067039171588438,0.0067039171588438,-5.2375,-5.2375,-5.2399,-5.2066,-5.0324,-5.2194,-5.4098,-5.4734,-5.0258,-5.1589,-5.2523,-5.1805,-5.0974,-5.2081,-4.9332,-5.1172,-5.0803,-5.0113,-5.0426,-5.2194,-4.9392,-5.0051,-5.0051
RS224,Јабланичка област,RS,0.0057511483592284,0.0057511483592284,0.0056949137464109,0.0050122112739855,0.0062381870133359,0.0050205977594538,0.0046950227863405,0.0040383750910678,0.0071954988614988,0.0065470426843445,0.0063690379617334,0.0049472955395717,0.0065290357916057,0.0065875362333817,0.0080435782305192,0.005048146230039,0.0073580116463518,0.0068643153505531,0.0080079587664863,0.0063228219926939,0.0079590066639829,0.0064300418007926,0.0064300418007926,-5.1584,-5.1584,-5.1682,-5.2959,-5.0771,-5.2942,-5.3613,-5.5119,-4.9343,-5.0287,-5.0563,-5.3089,-5.0315,-5.0226,-4.8229,-5.2887,-4.912,-4.9814,-4.8273,-5.0636,-4.8335,-5.0468,-5.0468
RS225,Нишавска област,RS,0.0170130096374597,0.0170130096374597,0.0061014004032222,0.0065114293180361,0.0142827589639575,0.0182968488122569,0.0086048373173144,0.0010120810442551,0.0192544861129348,0.0118917135543153,0.0136635568386145,0.0069956722955858,0.0102674395832981,0.0081849658115935,0.0133429666453053,0.0125253356025099,0.017334118956367,0.0178468692254568,0.0201110791656201,0.0010463394451461,0.0159374068508034,0.0177473137680663,0.0177473137680663,-4.0738,-4.0738,-5.0992,-5.0342,-4.2487,-4.001,-4.7554,-6.8957,-3.95,-4.4319,-4.293,-4.9625,-4.5788,-4.8055,-4.3168,-4.38,-4.0551,-4.0259,-3.9065,-6.8625,-4.1391,-4.0315,-4.0315
RS226,Пиротска област,RS,0.0047555100650992,0.0047555100650992,0.0049194671169147,0.0061402713443034,0.0046578913964607,0.0045874657802168,0.0046344784050177,0.0038163333460939,0.0047257170446723,0.0036063247629045,0.0033975150054702,0.0052595099862026,0.0045774347892038,0.0038785438397482,0.0077266838464777,0.0039379449972234,0.0063105331450135,0.0080453196432133,0.0066876900372118,0.0066883899266399,0.0081722939736888,0.0066243257864397,0.0066243257864397,-5.3485,-5.3485,-5.3146,-5.0929,-5.3692,-5.3844,-5.3742,-5.5685,-5.3547,-5.6251,-5.6847,-5.2477,-5.3866,-5.5523,-4.8631,-5.5371,-5.0655,-4.8227,-5.0075,-5.0074,-4.807,-5.017,-5.017
RS227,Подунавска област,RS,0.0336054832361237,0.0336054832361237,0.0333422740180083,0.0312512695075026,0.0364148784840017,0.0284342233517966,0.0240787991494205,0.0252184889228176,0.0448469131754937,0.0347471110940463,0.0301302294486591,0.034104328107743,0.0474003476269956,0.0332535725013946,0.034301182868999,0.0265868115536895,0.0379954834141526,0.0407882529242902,0.0372565312349663,0.0293034474228261,0.0416998612208173,0.0347031328697231,0.0347031328697231,-3.3931,-3.3931,-3.4009,-3.4657,-3.3128,-3.5602,-3.7264,-3.6802,-3.1045,-3.3597,-3.5022,-3.3783,-3.0491,-3.4036,-3.3726,-3.6273,-3.2703,-3.1994,-3.2899,-3.5301,-3.1773,-3.3609,-3.3609
RS228,Пчињска област,RS,0.0025232802643436,0.0025232802643436,0.003354308616324,0.0022579761298383,0.0032725015346036,0.0028728807076528,0.0030202714615957,0.0019510689983935,0.0033691983216625,0.0039737188236011,0.0036655396580772,0.001368538253047,0.0024928563965453,0.0031934531194901,0.0035495872895633,0.0027844203317155,0.0028188853389841,0.0032097929754332,0.0033942859985715,0.0026705777293089,0.0041311356690575,0.0029435678066268,0.0029435678066268,-5.9822,-5.9822,-5.6975,-6.0933,-5.7222,-5.8524,-5.8024,-6.2394,-5.6931,-5.5281,-5.6088,-6.594,-5.9943,-5.7467,-5.6409,-5.8837,-5.8714,-5.7415,-5.6857,-5.9255,-5.4892,-5.8281,-5.8281
RS229,Топличка област,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103
MK001,Вардарски,MK,0.0034157546210154,0.0034157546210154,0.0031633039196726,0.0029407001737184,0.0047931905023778,0.0055621877616614,0.0041873567285746,0.0029894931913571,0.0037519182839889,0.0041305030236889,0.0040096356044006,0.0036760080017168,0.0044335401726818,0.0032264546902559,0.0049126516237309,0.0032903672943165,0.0034100112978734,0.0032237299509048,0.0026834380388085,0.0024757729711555,0.0033589430770055,0.0029010299870922,0.0029010299870922,-5.6794,-5.6794,-5.7561,-5.8291,-5.3406,-5.1918,-5.4757,-5.8127,-5.5855,-5.4894,-5.5191,-5.6059,-5.4186,-5.7364,-5.3159,-5.7168,-5.681,-5.7372,-5.9207,-6.0012,-5.6961,-5.8427,-5.8427
MK002,Источен,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103,-9.2103
MK003,Југозападен,MK,0.0006668656374697455,0.0006668656374697455,-0.0002864752944388666,0.000426983166524934,0.0006889432197291816,0.0017919988038389,0.0003048162858965134,-0.00032892531235690443,0.0006371641883540539,0.0005108507228363969,0.0019054731961797,0.00029004907850839896,0.0017697576839331,0.0009861156538235102,0.0017295332635572,0.0011926800549486,0.0012608369243474,0.0005598506901288675,0.0009888884776538718,0.000213293975273108,0.0019744048716378,0.001805283901354,0.001805283901354,-7.3129,-7.3129,-9.2103,-7.7588,-7.2804,-6.3244,-8.0958,-9.2103,-7.3585,-7.5794,-6.263,-8.1455,-6.3369,-6.9217,-6.3599,-6.7316,-6.676,-7.4878,-6.9189,-8.4528,-6.2275,-6.317,-6.317
MK004,Југоисточен,MK,0.0041059159783821,0.0041059159783821,0.0036098786437657,0.0038633865492394,0.0034658033236989,0.0040890141015848,0.001789456064995,0.002918149599675,0.0048800192766485,0.0028575730588982,0.0035985197997678,0.0027649942696304,0.0050879088964345,0.0043064910402446,0.0029989808352007,0.0034857612463636,0.004415824864406,0.005105919193413,0.0043044102947997,0.0027850205279723,0.0048762666125762,0.0029054877362645,0.0029054877362645,-5.4953,-5.4953,-5.6241,-5.5562,-5.6648,-5.4995,-6.3258,-5.8368,-5.3226,-5.8578,-5.6272,-5.8907,-5.2809,-5.4476,-5.8095,-5.6591,-5.4226,-5.2774,-5.4481,-5.8835,-5.3234,-5.8412,-5.8412
MK005,Пелагониски,MK,0.0023116066742417,0.0023116066742417,0.0026767310187099,0.0013526873753079,0.0040340746399758,0.0039771662483468,0.0027758156047903,0.0025941444503702,0.0036572078575914,0.0038024982903556,0.0033541724302213,0.0015708915876512,0.0064212435164603,0.0036246498735095,0.0031016046341704,0.0041501086462564,0.0035112798693385,0.0048124814229406,0.0041164915475316,0.0034852530687334,0.0044512546493897,0.0029916405503228,0.0029916405503228,-6.0698,-6.0698,-5.9232,-6.6057,-5.513,-5.5272,-5.8868,-5.9545,-5.6111,-5.5721,-5.6976,-6.4561,-5.0481,-5.62,-5.7758,-5.4846,-5.6518,-5.3365,-5.4928,-5.6592,-5.4146,-5.8119,-5.8119
