Country,Subnat,Year,GDP_per_Capita_EUR,Region (Country)
Bosnia and Herzegovina,Brčko,2000,3302.251762628287,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2001,3368.3698116773485,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2002,3533.4621181986254,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2003,3046.61583,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2004,3852.073022,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2005,4053.163166,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2006,4045.447455,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2007,5070.664291,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2008,5752.575763,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2009,5341.386322,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2010,5046.942509,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2011,5601.527039,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2012,5165.84885,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2013,5448.78271,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2014,5782.729227,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2015,5199.874703,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2016,5010.932936,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2017,5299.892458,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2018,5721.716947,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2019,6031.821603,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2020,6045.947982062968,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2021,6585.844443929845,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Brčko,2022,6934.282506096372,Brčko (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2000,2873.9041565190287,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2001,2931.909561512991,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2002,3075.5033612882535,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2003,2651.608446,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2004,3069.205005,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2005,3186.589996,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2006,3561.419995,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2007,4340.760756,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2008,5226.428221,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2009,4758.009131,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2010,4640.681283,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2011,4967.692454,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2012,4636.925386,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2013,4845.868695,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2014,5039.151243,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2015,4373.491738,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2016,5012.892526,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2017,5378.878098,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2018,6043.850748,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2019,6061.808256,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2020,6075.964765066836,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2021,6618.700652352998,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2022,6968.761243330545,Federacija Bosna i Hercegovina (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2000,2616.3277077696166,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2001,2669.059894127764,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2002,2800.0790956176224,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2003,2414.026871,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2004,2928.22858,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2005,3210.155782,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2006,3658.607169,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2007,4414.734858,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2008,5329.418795,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2009,4799.929486,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2010,4513.065798,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2011,4839.324621,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2012,4337.702616,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2013,4481.956638,Repuplika Srpska (Bosnia and Herzegovina)
Bosnia and Herzegovina,Repuplika Srpska,2014,4432.981661,Repuplika Srpska (Bosnia and Herzegovina)
