Year,Region,GDP,GDP_Type,Unit
2000,District Brcko,7571.13,GDP per Capita,EUR
2000,Federation BiH,6589.05,GDP per Capita,EUR
2000,Republic of Srpska,5998.5,GDP per Capita,EUR
2001,District Brcko,7722.72,GDP per Capita,EUR
2001,Federation BiH,6722.04,GDP per Capita,EUR
2001,Republic of Srpska,6119.400000000001,GDP per Capita,EUR
2002,District Brcko,8101.23,GDP per Capita,EUR
2002,Federation BiH,7051.26,GDP per Capita,EUR
2002,Republic of Srpska,6419.79,GDP per Capita,EUR
2003,District Brcko,8441.61,GDP per Capita,EUR
2003,Federation BiH,7347.0,GDP per Capita,EUR
2003,Republic of Srpska,6688.56,GDP per Capita,EUR
2004,District Brcko,9700.83,GDP per Capita,EUR
2004,Federation BiH,7729.23,GDP per Capita,EUR
2004,Republic of Srpska,7373.97,GDP per Capita,EUR
2005,District Brcko,10103.52,GDP per Capita,EUR
2005,Federation BiH,7943.13,GDP per Capita,EUR
2005,Republic of Srpska,8002.650000000001,GDP per Capita,EUR
2006,Bosnia and Herzegovina,2587.74,GDP per Capita,EUR
2006,District Brcko,3323.16,GDP per Capita,EUR
2006,Federation BiH,2739.465,GDP per Capita,EUR
2006,Republic of Srpska,2312.85,GDP per Capita,EUR
2007,Bosnia and Herzegovina,2917.71,GDP per Capita,EUR
2007,District Brcko,3792.36,GDP per Capita,EUR
2007,Federation BiH,3084.5310000000004,GDP per Capita,EUR
2007,Republic of Srpska,2604.57,GDP per Capita,EUR
2008,Bosnia and Herzegovina,3304.8,GDP per Capita,EUR
2008,District Brcko,4100.4,GDP per Capita,EUR
2008,Federation BiH,3468.51,GDP per Capita,EUR
2008,Republic of Srpska,3012.57,GDP per Capita,EUR
2009,Bosnia and Herzegovina,3211.98,GDP per Capita,EUR
2009,District Brcko,3819.39,GDP per Capita,EUR
2009,Federation BiH,3380.994,GDP per Capita,EUR
2009,Republic of Srpska,2926.89,GDP per Capita,EUR
2010,Bosnia and Herzegovina,3287.46,GDP per Capita,EUR
2010,District Brcko,3907.62,GDP per Capita,EUR
2010,Federation BiH,3469.122,GDP per Capita,EUR
2010,Republic of Srpska,2960.55,GDP per Capita,EUR
2011,Bosnia and Herzegovina,3408.84,GDP per Capita,EUR
2011,District Brcko,4086.63,GDP per Capita,EUR
2011,Federation BiH,3535.167,GDP per Capita,EUR
2011,Republic of Srpska,3097.23,GDP per Capita,EUR
2012,Bosnia and Herzegovina,3421.3860000000004,GDP per Capita,EUR
2012,District Brcko,4320.72,GDP per Capita,EUR
2012,Federation BiH,3591.93,GDP per Capita,EUR
2012,Republic of Srpska,3063.06,GDP per Capita,EUR
2013,Bosnia and Herzegovina,3499.824,GDP per Capita,EUR
2013,District Brcko,4393.14,GDP per Capita,EUR
2013,Federation BiH,3694.083,GDP per Capita,EUR
2013,Republic of Srpska,3134.46,GDP per Capita,EUR
2014,Bosnia and Herzegovina,3632.73,GDP per Capita,EUR
2014,District Brcko,4488.0,GDP per Capita,EUR
2014,Federation BiH,3882.987,GDP per Capita,EUR
2014,Republic of Srpska,3174.75,GDP per Capita,EUR
2015,Bosnia and Herzegovina,3811.23,GDP per Capita,EUR
2015,District Brcko,4590.0,GDP per Capita,EUR
2015,Federation BiH,4085.1,GDP per Capita,EUR
2015,Republic of Srpska,4039.71,GDP per Capita,EUR
2016,Bosnia and Herzegovina,4242.435,GDP per Capita,EUR
2016,District Brcko,4681.8,GDP per Capita,EUR
2016,Federation BiH,4516.713,GDP per Capita,EUR
2016,Republic of Srpska,4243.2,GDP per Capita,EUR
2017,Bosnia and Herzegovina,4566.54,GDP per Capita,EUR
2017,District Brcko,4848.57,GDP per Capita,EUR
2017,Federation BiH,4750.14,GDP per Capita,EUR
2017,Republic of Srpska,4456.89,GDP per Capita,EUR
2018,Bosnia and Herzegovina,4873.56,GDP per Capita,EUR
2018,District Brcko,4982.7,GDP per Capita,EUR
2018,Federation BiH,5096.736,GDP per Capita,EUR
2018,Republic of Srpska,4745.55,GDP per Capita,EUR
2019,Bosnia and Herzegovina,5155.08,GDP per Capita,EUR
2019,District Brcko,5531.97,GDP per Capita,EUR
2019,Federation BiH,5386.62,GDP per Capita,EUR
2019,Republic of Srpska,5014.32,GDP per Capita,EUR
2020,Bosnia and Herzegovina,5096.9400000000005,GDP per Capita,EUR
2020,District Brcko,5554.92,GDP per Capita,EUR
2020,Federation BiH,5192.667,GDP per Capita,EUR
2020,Republic of Srpska,4996.47,GDP per Capita,EUR
2021,Bosnia and Herzegovina,5709.96,GDP per Capita,EUR
2021,District Brcko,6096.03,GDP per Capita,EUR
2021,Federation BiH,5933.34,GDP per Capita,EUR
2021,Republic of Srpska,5650.8,GDP per Capita,EUR
2022,Bosnia and Herzegovina,6454.56,GDP per Capita,EUR
2022,District Brcko,7065.54,GDP per Capita,EUR
2022,Federation BiH,6941.1,GDP per Capita,EUR
2022,Republic of Srpska,6617.25,GDP per Capita,EUR
2000,Bjelovarsko-bilogorska županija,5965.21,GDP per Capita,EUR
2000,Virovitičko-podravska županija,5775.73,GDP per Capita,EUR
2000,Požeško-slavonska županija,5836.23,GDP per Capita,EUR
2000,Brodsko-posavska županija,5125.56,GDP per Capita,EUR
2000,Osječko-baranjska županija,6356.21,GDP per Capita,EUR
2000,Vukovarsko-srijemska županija,4891.44,GDP per Capita,EUR
2000,Karlovačka županija,6218.83,GDP per Capita,EUR
2000,Sisačko-moslavačka županija,7263.82,GDP per Capita,EUR
2000,Primorsko-goranska zupanija,10969.4,GDP per Capita,EUR
2000,Licko-senjska zupanija,6467.05,GDP per Capita,EUR
2000,Zadarska zupanija,6311.52,GDP per Capita,EUR
2000,Sibensko-kninska zupanija,5955.75,GDP per Capita,EUR
2000,Splitsko-dalmatinska zupanija,6870.06,GDP per Capita,EUR
2000,Istarska zupanija,11116.47,GDP per Capita,EUR
2000,Dubrovacko-neretvanska zupanija,7601.35,GDP per Capita,EUR
2000,Grad Zagreb,13218.04,GDP per Capita,EUR
2000,Međimurska županija,6406.22,GDP per Capita,EUR
2000,Varaždinska županija,7075.25,GDP per Capita,EUR
2000,Koprivničko-križevačka županija,8483.01,GDP per Capita,EUR
2000,Krapinsko-zagorska županija,5827.53,GDP per Capita,EUR
2000,Zagrebačka županija,6247.27,GDP per Capita,EUR
2000,Crna Gora,3994.14,GDP per Capita,EUR
2000,Vardarski,2378.21,GDP per Capita,EUR
2000,Istocen,2274.2,GDP per Capita,EUR
2000,Jugozapaden,2560.44,GDP per Capita,EUR
2000,Jugoistocen,2544.61,GDP per Capita,EUR
2000,Pelagoniski,3522.45,GDP per Capita,EUR
2000,Poloski,1569.62,GDP per Capita,EUR
2000,Severoistocen,1978.69,GDP per Capita,EUR
2000,Skopski,4408.91,GDP per Capita,EUR
2000,Београдска област,3939.67,GDP per Capita,EUR
2000,Западнобачка област,2637.56,GDP per Capita,EUR
2000,Јужнобанатска област,2805.08,GDP per Capita,EUR
2000,Јужнобачка област,4240.16,GDP per Capita,EUR
2000,Севернобанатска област,2728.99,GDP per Capita,EUR
2000,Севернобачка област,2719.51,GDP per Capita,EUR
2000,Средњобанатска област,3135.0,GDP per Capita,EUR
2000,Сремска област,2573.2,GDP per Capita,EUR
2000,Златиборска област,2023.0,GDP per Capita,EUR
2000,Колубарска област,2165.27,GDP per Capita,EUR
2000,Мачванска област,1954.09,GDP per Capita,EUR
2000,Моравичка област,2840.83,GDP per Capita,EUR
2000,Поморавска област,2278.1,GDP per Capita,EUR
2000,Расинска област,2707.51,GDP per Capita,EUR
2000,Рашка област,1751.44,GDP per Capita,EUR
2000,Шумадијска област,2000.89,GDP per Capita,EUR
2000,Борска област,2523.02,GDP per Capita,EUR
2000,Браничевска област,2554.89,GDP per Capita,EUR
2000,Зајечарска област,2263.72,GDP per Capita,EUR
2000,Јабланичка област,1942.63,GDP per Capita,EUR
2000,Нишавска област,2687.01,GDP per Capita,EUR
2000,Пиротска област,2022.64,GDP per Capita,EUR
2000,Подунавска област,1758.68,GDP per Capita,EUR
2000,Пчињска област,2549.87,GDP per Capita,EUR
2000,Топличка област,1944.24,GDP per Capita,EUR
2000,Pomurska,10319.14,GDP per Capita,EUR
2000,Podravska,12072.92,GDP per Capita,EUR
2000,Koroska,12423.01,GDP per Capita,EUR
2000,Savinjska,13278.99,GDP per Capita,EUR
2000,Zasavska,10485.9,GDP per Capita,EUR
2000,Posavska,12452.91,GDP per Capita,EUR
2000,Jugovzhodna Slovenija,14468.78,GDP per Capita,EUR
2000,Primorsko-notranjska,11966.73,GDP per Capita,EUR
2000,Osrednjeslovenska,20393.32,GDP per Capita,EUR
2000,Gorenjska,12941.06,GDP per Capita,EUR
2000,Goriska,14236.82,GDP per Capita,EUR
2000,Obalno-kraska,15535.4,GDP per Capita,EUR
2000,Bjelovarsko-bilogorska županija,5965.21,GDP per Capita,EUR
2000,Virovitičko-podravska županija,5775.73,GDP per Capita,EUR
2000,Požeško-slavonska županija,5836.23,GDP per Capita,EUR
2000,Brodsko-posavska županija,5125.56,GDP per Capita,EUR
2000,Osječko-baranjska županija,6356.21,GDP per Capita,EUR
2000,Vukovarsko-srijemska županija,4891.44,GDP per Capita,EUR
2000,Karlovačka županija,6218.83,GDP per Capita,EUR
2000,Sisačko-moslavačka županija,7263.82,GDP per Capita,EUR
2000,Primorsko-goranska zupanija,10969.4,GDP per Capita,EUR
2000,Licko-senjska zupanija,6467.05,GDP per Capita,EUR
2000,Zadarska zupanija,6311.52,GDP per Capita,EUR
2000,Sibensko-kninska zupanija,5955.75,GDP per Capita,EUR
2000,Splitsko-dalmatinska zupanija,6870.06,GDP per Capita,EUR
2000,Istarska zupanija,11116.47,GDP per Capita,EUR
2000,Dubrovacko-neretvanska zupanija,7601.35,GDP per Capita,EUR
2000,Grad Zagreb,13218.04,GDP per Capita,EUR
2000,Međimurska županija,6406.22,GDP per Capita,EUR
2000,Varaždinska županija,7075.25,GDP per Capita,EUR
2000,Koprivničko-križevačka županija,8483.01,GDP per Capita,EUR
2000,Krapinsko-zagorska županija,5827.53,GDP per Capita,EUR
2000,Zagrebačka županija,6247.27,GDP per Capita,EUR
2000,Crna Gora,3994.14,GDP per Capita,EUR
2000,Vardarski,2378.21,GDP per Capita,EUR
2000,Istocen,2274.2,GDP per Capita,EUR
2000,Jugozapaden,2560.44,GDP per Capita,EUR
2000,Jugoistocen,2544.61,GDP per Capita,EUR
2000,Pelagoniski,3522.45,GDP per Capita,EUR
2000,Poloski,1569.62,GDP per Capita,EUR
2000,Severoistocen,1978.69,GDP per Capita,EUR
2000,Skopski,4408.91,GDP per Capita,EUR
2000,Београдска област,3939.67,GDP per Capita,EUR
2000,Западнобачка област,2637.56,GDP per Capita,EUR
2000,Јужнобанатска област,2805.08,GDP per Capita,EUR
2000,Јужнобачка област,4240.16,GDP per Capita,EUR
2000,Севернобанатска област,2728.99,GDP per Capita,EUR
2000,Севернобачка област,2719.51,GDP per Capita,EUR
2000,Средњобанатска област,3135.0,GDP per Capita,EUR
2000,Сремска област,2573.2,GDP per Capita,EUR
2000,Златиборска област,2023.0,GDP per Capita,EUR
2000,Колубарска област,2165.27,GDP per Capita,EUR
2000,Мачванска област,1954.09,GDP per Capita,EUR
2000,Моравичка област,2840.83,GDP per Capita,EUR
2000,Поморавска област,2278.1,GDP per Capita,EUR
2000,Расинска област,2707.51,GDP per Capita,EUR
2000,Рашка област,1751.44,GDP per Capita,EUR
2000,Шумадијска област,2000.89,GDP per Capita,EUR
2000,Борска област,2523.02,GDP per Capita,EUR
2000,Браничевска област,2554.89,GDP per Capita,EUR
2000,Зајечарска област,2263.72,GDP per Capita,EUR
2000,Јабланичка област,1942.63,GDP per Capita,EUR
2000,Нишавска област,2687.01,GDP per Capita,EUR
2000,Пиротска област,2022.64,GDP per Capita,EUR
2000,Подунавска област,1758.68,GDP per Capita,EUR
2000,Пчињска област,2549.87,GDP per Capita,EUR
2000,Топличка област,1944.24,GDP per Capita,EUR
2000,Pomurska,10319.14,GDP per Capita,EUR
2000,Podravska,12072.92,GDP per Capita,EUR
2000,Koroska,12423.01,GDP per Capita,EUR
2000,Savinjska,13278.99,GDP per Capita,EUR
2000,Zasavska,10485.9,GDP per Capita,EUR
2000,Posavska,12452.91,GDP per Capita,EUR
2000,Jugovzhodna Slovenija,14468.78,GDP per Capita,EUR
2000,Primorsko-notranjska,11966.73,GDP per Capita,EUR
2000,Osrednjeslovenska,20393.32,GDP per Capita,EUR
2000,Gorenjska,12941.06,GDP per Capita,EUR
2000,Goriska,14236.82,GDP per Capita,EUR
2000,Obalno-kraska,15535.4,GDP per Capita,EUR
2001,Bjelovarsko-bilogorska županija,6258.52,GDP per Capita,EUR
2001,Virovitičko-podravska županija,6290.74,GDP per Capita,EUR
2001,Požeško-slavonska županija,6089.44,GDP per Capita,EUR
2001,Brodsko-posavska županija,5439.16,GDP per Capita,EUR
2001,Osječko-baranjska županija,6543.85,GDP per Capita,EUR
2001,Vukovarsko-srijemska županija,5143.95,GDP per Capita,EUR
2001,Karlovačka županija,7251.97,GDP per Capita,EUR
2001,Sisačko-moslavačka županija,7067.54,GDP per Capita,EUR
2001,Primorsko-goranska zupanija,10545.08,GDP per Capita,EUR
2001,Licko-senjska zupanija,6595.46,GDP per Capita,EUR
2001,Zadarska zupanija,6922.61,GDP per Capita,EUR
2001,Sibensko-kninska zupanija,6017.14,GDP per Capita,EUR
2001,Splitsko-dalmatinska zupanija,7122.64,GDP per Capita,EUR
2001,Istarska zupanija,11923.23,GDP per Capita,EUR
2001,Dubrovacko-neretvanska zupanija,7900.34,GDP per Capita,EUR
2001,Grad Zagreb,14123.94,GDP per Capita,EUR
2001,Međimurska županija,6734.14,GDP per Capita,EUR
2001,Varaždinska županija,7543.43,GDP per Capita,EUR
2001,Koprivničko-križevačka županija,8552.58,GDP per Capita,EUR
2001,Krapinsko-zagorska županija,6423.94,GDP per Capita,EUR
2001,Zagrebačka županija,5851.5,GDP per Capita,EUR
2001,Crna Gora,4020.13,GDP per Capita,EUR
2001,Vardarski,2590.28,GDP per Capita,EUR
2001,Istocen,1975.3,GDP per Capita,EUR
2001,Jugozapaden,2286.25,GDP per Capita,EUR
2001,Jugoistocen,2457.55,GDP per Capita,EUR
2001,Pelagoniski,3509.3,GDP per Capita,EUR
2001,Poloski,1364.35,GDP per Capita,EUR
2001,Severoistocen,1709.51,GDP per Capita,EUR
2001,Skopski,4464.7,GDP per Capita,EUR
2001,Београдска област,4389.93,GDP per Capita,EUR
2001,Западнобачка област,2862.21,GDP per Capita,EUR
2001,Јужнобанатска област,3074.97,GDP per Capita,EUR
2001,Јужнобачка област,4657.23,GDP per Capita,EUR
2001,Севернобанатска област,2996.11,GDP per Capita,EUR
2001,Севернобачка област,3004.78,GDP per Capita,EUR
2001,Средњобанатска област,3425.66,GDP per Capita,EUR
2001,Сремска област,2796.7,GDP per Capita,EUR
2001,Златиборска област,2110.71,GDP per Capita,EUR
2001,Колубарска област,2212.26,GDP per Capita,EUR
2001,Мачванска област,2092.31,GDP per Capita,EUR
2001,Моравичка област,2864.59,GDP per Capita,EUR
2001,Поморавска област,2507.12,GDP per Capita,EUR
2001,Расинска област,2552.21,GDP per Capita,EUR
2001,Рашка област,1825.86,GDP per Capita,EUR
2001,Шумадијска област,2032.57,GDP per Capita,EUR
2001,Борска област,2454.08,GDP per Capita,EUR
2001,Браничевска област,2798.8,GDP per Capita,EUR
2001,Зајечарска област,2296.38,GDP per Capita,EUR
2001,Јабланичка област,1892.69,GDP per Capita,EUR
2001,Нишавска област,2888.97,GDP per Capita,EUR
2001,Пиротска област,2213.33,GDP per Capita,EUR
2001,Подунавска област,1661.7,GDP per Capita,EUR
2001,Пчињска област,2407.77,GDP per Capita,EUR
2001,Топличка област,1984.63,GDP per Capita,EUR
2001,Pomurska,10565.76,GDP per Capita,EUR
2001,Podravska,12445.53,GDP per Capita,EUR
2001,Koroska,12944.2,GDP per Capita,EUR
2001,Savinjska,13457.59,GDP per Capita,EUR
2001,Zasavska,10469.15,GDP per Capita,EUR
2001,Posavska,12745.59,GDP per Capita,EUR
2001,Jugovzhodna Slovenija,14710.14,GDP per Capita,EUR
2001,Primorsko-notranjska,11910.87,GDP per Capita,EUR
2001,Osrednjeslovenska,21224.83,GDP per Capita,EUR
2001,Gorenjska,13490.79,GDP per Capita,EUR
2001,Goriska,14681.42,GDP per Capita,EUR
2001,Obalno-kraska,15910.27,GDP per Capita,EUR
2001,Bjelovarsko-bilogorska županija,6258.52,GDP per Capita,EUR
2001,Virovitičko-podravska županija,6290.74,GDP per Capita,EUR
2001,Požeško-slavonska županija,6089.44,GDP per Capita,EUR
2001,Brodsko-posavska županija,5439.16,GDP per Capita,EUR
2001,Osječko-baranjska županija,6543.85,GDP per Capita,EUR
2001,Vukovarsko-srijemska županija,5143.95,GDP per Capita,EUR
2001,Karlovačka županija,7251.97,GDP per Capita,EUR
2001,Sisačko-moslavačka županija,7067.54,GDP per Capita,EUR
2001,Primorsko-goranska zupanija,10545.08,GDP per Capita,EUR
2001,Licko-senjska zupanija,6595.46,GDP per Capita,EUR
2001,Zadarska zupanija,6922.61,GDP per Capita,EUR
2001,Sibensko-kninska zupanija,6017.14,GDP per Capita,EUR
2001,Splitsko-dalmatinska zupanija,7122.64,GDP per Capita,EUR
2001,Istarska zupanija,11923.23,GDP per Capita,EUR
2001,Dubrovacko-neretvanska zupanija,7900.34,GDP per Capita,EUR
2001,Grad Zagreb,14123.94,GDP per Capita,EUR
2001,Međimurska županija,6734.14,GDP per Capita,EUR
2001,Varaždinska županija,7543.43,GDP per Capita,EUR
2001,Koprivničko-križevačka županija,8552.58,GDP per Capita,EUR
2001,Krapinsko-zagorska županija,6423.94,GDP per Capita,EUR
2001,Zagrebačka županija,5851.5,GDP per Capita,EUR
2001,Crna Gora,4020.13,GDP per Capita,EUR
2001,Vardarski,2590.28,GDP per Capita,EUR
2001,Istocen,1975.3,GDP per Capita,EUR
2001,Jugozapaden,2286.25,GDP per Capita,EUR
2001,Jugoistocen,2457.55,GDP per Capita,EUR
2001,Pelagoniski,3509.3,GDP per Capita,EUR
2001,Poloski,1364.35,GDP per Capita,EUR
2001,Severoistocen,1709.51,GDP per Capita,EUR
2001,Skopski,4464.7,GDP per Capita,EUR
2001,Београдска област,4389.93,GDP per Capita,EUR
2001,Западнобачка област,2862.21,GDP per Capita,EUR
2001,Јужнобанатска област,3074.97,GDP per Capita,EUR
2001,Јужнобачка област,4657.23,GDP per Capita,EUR
2001,Севернобанатска област,2996.11,GDP per Capita,EUR
2001,Севернобачка област,3004.78,GDP per Capita,EUR
2001,Средњобанатска област,3425.66,GDP per Capita,EUR
2001,Сремска област,2796.7,GDP per Capita,EUR
2001,Златиборска област,2110.71,GDP per Capita,EUR
2001,Колубарска област,2212.26,GDP per Capita,EUR
2001,Мачванска област,2092.31,GDP per Capita,EUR
2001,Моравичка област,2864.59,GDP per Capita,EUR
2001,Поморавска област,2507.12,GDP per Capita,EUR
2001,Расинска област,2552.21,GDP per Capita,EUR
2001,Рашка област,1825.86,GDP per Capita,EUR
2001,Шумадијска област,2032.57,GDP per Capita,EUR
2001,Борска област,2454.08,GDP per Capita,EUR
2001,Браничевска област,2798.8,GDP per Capita,EUR
2001,Зајечарска област,2296.38,GDP per Capita,EUR
2001,Јабланичка област,1892.69,GDP per Capita,EUR
2001,Нишавска област,2888.97,GDP per Capita,EUR
2001,Пиротска област,2213.33,GDP per Capita,EUR
2001,Подунавска област,1661.7,GDP per Capita,EUR
2001,Пчињска област,2407.77,GDP per Capita,EUR
2001,Топличка област,1984.63,GDP per Capita,EUR
2001,Pomurska,10565.76,GDP per Capita,EUR
2001,Podravska,12445.53,GDP per Capita,EUR
2001,Koroska,12944.2,GDP per Capita,EUR
2001,Savinjska,13457.59,GDP per Capita,EUR
2001,Zasavska,10469.15,GDP per Capita,EUR
2001,Posavska,12745.59,GDP per Capita,EUR
2001,Jugovzhodna Slovenija,14710.14,GDP per Capita,EUR
2001,Primorsko-notranjska,11910.87,GDP per Capita,EUR
2001,Osrednjeslovenska,21224.83,GDP per Capita,EUR
2001,Gorenjska,13490.79,GDP per Capita,EUR
2001,Goriska,14681.42,GDP per Capita,EUR
2001,Obalno-kraska,15910.27,GDP per Capita,EUR
2002,Bjelovarsko-bilogorska županija,6747.56,GDP per Capita,EUR
2002,Virovitičko-podravska županija,6518.1,GDP per Capita,EUR
2002,Požeško-slavonska županija,6255.41,GDP per Capita,EUR
2002,Brodsko-posavska županija,5683.88,GDP per Capita,EUR
2002,Osječko-baranjska županija,7140.61,GDP per Capita,EUR
2002,Vukovarsko-srijemska županija,5469.67,GDP per Capita,EUR
2002,Karlovačka županija,7605.3,GDP per Capita,EUR
2002,Sisačko-moslavačka županija,7036.71,GDP per Capita,EUR
2002,Primorsko-goranska zupanija,10612.29,GDP per Capita,EUR
2002,Licko-senjska zupanija,7758.89,GDP per Capita,EUR
2002,Zadarska zupanija,7353.11,GDP per Capita,EUR
2002,Sibensko-kninska zupanija,6455.21,GDP per Capita,EUR
2002,Splitsko-dalmatinska zupanija,7345.08,GDP per Capita,EUR
2002,Istarska zupanija,12646.59,GDP per Capita,EUR
2002,Dubrovacko-neretvanska zupanija,8062.53,GDP per Capita,EUR
2002,Grad Zagreb,14906.1,GDP per Capita,EUR
2002,Međimurska županija,7339.87,GDP per Capita,EUR
2002,Varaždinska županija,8257.39,GDP per Capita,EUR
