TERRITORY_ID,NUTS2_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_edu_2000,ln_edu_2001,ln_edu_2002,ln_edu_2003,ln_edu_2004,ln_edu_2005,ln_edu_2006,ln_edu_2007,ln_edu_2008,ln_edu_2009,ln_edu_2010,ln_edu_2011,ln_edu_2012,ln_edu_2013,ln_edu_2014,ln_edu_2015,ln_edu_2016,ln_edu_2017,ln_edu_2018,ln_edu_2019,ln_edu_2020,ln_edu_2021,ln_edu_2022
HR021,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR022,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR023,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR024,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR025,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR026,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR027,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR028,HR02,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.0,14.2,14.9,17.0,17.8,17.4,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7973,2.7081,2.6532,2.7014,2.8332,2.8792,2.8565
HR031,HR03,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.8,19.2,21.1,19.8,20.6,21.6,22.7,24.7,22.8,23.7,26.7,27.1,26.5,24.9,25.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8792,2.9549,3.0493,2.9857,3.0253,3.0727,3.1224,3.2068,3.1268,3.1655,3.2847,3.2995,3.2771,3.2149,3.2229
HR032,HR03,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.8,19.2,21.1,19.8,20.6,21.6,22.7,24.7,22.8,23.7,26.7,27.1,26.5,24.9,25.1,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8449,2.8792,2.9549,3.0493,2.9857,3.0253,3.0727,3.1224,3.2068,3.1268,3.1655,3.2847,3.2995,3.2771,3.2149,3.2229
