iso3,Country,Year,GDP_per_Capita_EUR
KSV,Kosovo,2000,6051.51
KSV,Kosovo,2001,6327.72
KSV,Kosovo,2002,6138.93
KSV,Kosovo,2003,6188.22
KSV,Kosovo,2004,5867.37
KSV,Kosovo,2005,6057.09
KSV,Kosovo,2006,6186.360000000001
KSV,Kosovo,2007,6607.650000000001
KSV,Kosovo,2008,2057.0
KSV,Kosovo,2009,2066.0
KSV,Kosovo,2010,2271.0
KSV,Kosovo,2011,2528.0
KSV,Kosovo,2012,2655.0
KSV,Kosovo,2013,2794.0
KSV,Kosovo,2014,2950.0
KSV,Kosovo,2015,3202.0
KSV,Kosovo,2016,3368.0
KSV,Kosovo,2017,3534.0
KSV,Kosovo,2018,3715.0
KSV,Kosovo,2019,3959.0
KSV,Kosovo,2020,3772.0
KSV,Kosovo,2021,4486.0
KSV,Kosovo,2022,5048.0
