TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_gdppc_2000,ln_gdppc_2001,ln_gdppc_2002,ln_gdppc_2003,ln_gdppc_2004,ln_gdppc_2005,ln_gdppc_2006,ln_gdppc_2007,ln_gdppc_2008,ln_gdppc_2009,ln_gdppc_2010,ln_gdppc_2011,ln_gdppc_2012,ln_gdppc_2013,ln_gdppc_2014,ln_gdppc_2015,ln_gdppc_2016,ln_gdppc_2017,ln_gdppc_2018,ln_gdppc_2019,ln_gdppc_2020,ln_gdppc_2021,ln_gdppc_2022
HR021,Bjelovarsko-bilogorska županija,5965.21,6258.52,6747.56,6773.84,6965.69,6873.06,7623.78,7413.27,8266.41,7860.48,7108.42,7081.14,6757.53,6863.82,6976.97,7266.14,7757.53,7928.5,8450.22,8618.04,8491.01,10045.06,10527.21,8.6937,8.7417,8.8169,8.8208,8.8488,8.8354,8.939,8.911,9.02,8.9696,8.869,8.8652,8.8184,8.834,8.8504,8.891,8.9564,8.9782,9.0419,9.0616,9.0468,9.2148,9.2617
HR022,Virovitičko-podravska županija,5775.73,6290.74,6518.1,6742.05,6732.12,6606.72,7436.46,7639.13,7506.59,6621.9,6194.99,6363.1,6088.72,6053.23,5655.09,5807.92,6183.24,6437.43,6996.8,7401.23,7114.27,8438.14,8873.35,8.6614,8.7468,8.7823,8.8161,8.8146,8.7958,8.9142,8.941,8.9235,8.7981,8.7315,8.7583,8.7142,8.7083,8.6403,8.667,8.7296,8.7699,8.8532,8.9094,8.8699,9.0405,9.0908
HR023,Požeško-slavonska županija,5836.23,6089.44,6255.41,6833.16,7108.28,7125.17,7041.28,7218.32,7378.38,6668.34,6507.43,6408.64,6085.26,6191.8,5922.62,6093.24,6372.31,6636.57,7202.67,7660.75,7217.28,7977.9,8496.46,8.6718,8.7143,8.7412,8.8295,8.869,8.8714,8.8595,8.8844,8.9063,8.8051,8.7807,8.7654,8.7136,8.731,8.6865,8.7149,8.7597,8.8004,8.8822,8.9439,8.8842,8.9844,9.0474
HR024,Brodsko-posavska županija,5125.56,5439.16,5683.88,5842.43,6155.39,5854.76,6207.15,6429.76,6781.37,6194.71,5870.11,5931.68,5762.07,5767.82,5668.86,5924.52,6267.16,6703.66,7168.33,7784.21,7491.33,8445.36,9001.46,8.542,8.6014,8.6454,8.6729,8.7251,8.675,8.7335,8.7687,8.8219,8.7315,8.6776,8.6881,8.6591,8.66,8.6427,8.6869,8.7431,8.8104,8.8774,8.9599,8.9215,9.0414,9.1051
HR025,Osječko-baranjska županija,6356.21,6543.85,7140.61,7196.97,7632.56,8042.42,8528.48,9480.44,9725.85,8976.69,8437.54,8464.49,8126.21,8252.76,8184.19,8492.03,8949.46,9133.35,9263.39,9768.42,9643.27,11059.58,11738.58,8.7572,8.7863,8.8736,8.8814,8.9402,8.9925,9.0512,9.157,9.1825,9.1024,9.0404,9.0436,9.0028,9.0183,9.01,9.0469,9.0993,9.1197,9.1338,9.1869,9.174,9.3111,9.3706
HR026,Vukovarsko-srijemska županija,4891.44,5143.95,5469.67,5809.55,5979.1,6204.11,6956.58,6897.28,7349.68,6732.1,6257.73,6329.24,6021.96,6130.65,5984.94,6297.72,6672.06,7070.82,7606.28,8173.33,8056.42,9035.22,9565.64,8.4952,8.5456,8.607,8.6673,8.696,8.733,8.8474,8.8389,8.9024,8.8146,8.7416,8.7529,8.7032,8.7211,8.697,8.7479,8.8057,8.8637,8.9367,9.0086,8.9942,9.1089,9.1659
HR027,Karlovačka županija,6218.83,7251.97,7605.3,7356.6,7326.3,7704.92,8442.73,9074.26,9047.72,8129.43,7849.61,8005.29,7752.76,7938.04,7873.46,8192.61,8638.84,8831.59,8787.57,8931.55,8773.69,10162.46,10912.58,8.7353,8.889,8.9366,8.9034,8.8992,8.9496,9.0411,9.1132,9.1103,9.0032,8.9682,8.9879,8.9558,8.9794,8.9713,9.011,9.064,9.0861,9.0811,9.0973,9.0795,9.2265,9.2977
HR028,Sisačko-moslavačka županija,7263.82,7067.54,7036.71,7123.14,7157.75,7675.24,8704.58,7961.08,8575.23,8569.41,8557.18,8598.1,8617.64,7982.0,7668.54,8123.23,8095.1,8312.46,8723.22,9156.2,8304.58,9745.08,10351.34,8.8907,8.8633,8.8589,8.8711,8.876,8.9458,9.0716,8.9823,9.0566,9.056,9.0545,9.0593,9.0616,8.9849,8.9449,9.0025,8.999,9.0255,9.0737,9.1222,9.0246,9.1845,9.2449
HR031,Primorsko-goranska zupanija,10969.4,10545.08,10612.29,11619.01,11641.15,12692.71,13305.35,13380.79,14316.0,13322.68,13045.26,13316.9,13576.23,13253.69,13409.78,13531.37,13933.77,14533.91,14817.62,14419.19,12850.27,15213.01,16643.77,9.3029,9.2634,9.2698,9.3604,9.3623,9.4488,9.4959,9.5016,9.5691,9.4972,9.4762,9.4968,9.5161,9.492,9.5037,9.5128,9.5421,9.5842,9.6036,9.5763,9.4611,9.6299,9.7198
HR032,Licko-senjska zupanija,6467.05,6595.46,7758.89,9312.94,11803.84,9256.38,9443.35,8866.95,9820.32,8771.06,8205.33,8169.63,7806.49,8060.52,8027.18,8372.45,8747.8,9267.37,9510.4,9975.53,9688.02,11600.25,12417.38,8.7745,8.7941,8.9566,9.1392,9.3762,9.1331,9.1531,9.0901,9.1922,9.0792,9.0125,9.0082,8.9627,8.9947,8.9906,9.0327,9.0766,9.1343,9.1601,9.2079,9.1786,9.3588,9.4269
HR033,Zadarska zupanija,6311.52,6922.61,7353.11,8349.26,8516.62,8967.82,8937.77,9793.48,10159.11,9134.3,8482.35,8282.38,8098.55,8279.5,8416.6,8778.08,9244.35,9972.69,10636.53,10962.53,10186.21,11622.49,12408.99,8.7501,8.8425,8.9029,9.0299,9.0498,9.1014,9.098,9.1895,9.2261,9.1198,9.0457,9.0219,8.9994,9.0215,9.038,9.08,9.1318,9.2076,9.272,9.3022,9.2288,9.3607,9.4262
HR034,Sibensko-kninska zupanija,5955.75,6017.14,6455.21,7120.44,7653.21,8291.01,8215.39,9206.94,8803.27,7535.49,8039.16,8067.71,7912.64,8179.94,8283.22,8469.27,8886.51,9626.6,9997.39,10473.89,9653.5,11082.47,12031.5,8.6921,8.7024,8.7726,8.8707,8.9429,9.0229,9.0138,9.1277,9.0829,8.9274,8.9921,8.9956,8.9762,9.0094,9.022,9.0442,9.0923,9.1723,9.2101,9.2566,9.1751,9.3131,9.3953
HR035,Splitsko-dalmatinska zupanija,6870.06,7122.64,7345.08,7741.88,8420.36,8436.99,8953.15,9766.0,9539.39,8713.13,8476.11,8236.44,7972.46,8050.3,8132.46,8467.5,8897.64,9255.64,9522.3,10251.77,8989.07,10565.84,11369.3,8.8349,8.871,8.9018,8.9544,9.0384,9.0404,9.0998,9.1867,9.1632,9.0726,9.045,9.0163,8.9837,8.9935,9.0036,9.044,9.0935,9.133,9.1614,9.2352,9.1038,9.2654,9.3387
HR036,Istarska zupanija,11116.47,11923.23,12646.59,13329.47,13847.28,13824.31,14207.33,14832.52,14340.9,13748.14,13449.07,13366.01,12760.37,12871.65,13185.12,13653.95,14612.5,15100.93,15219.97,15532.02,12562.32,15358.06,17053.13,9.3162,9.3862,9.4451,9.4977,9.5358,9.5342,9.5615,9.6046,9.5709,9.5287,9.5067,9.5005,9.4541,9.4628,9.4868,9.5218,9.5896,9.6225,9.6304,9.6507,9.4385,9.6394,9.7441
