VERSIONS,LEVEL_ID,TERRITORY_ID,NAME_HTML,UNIT,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
2021,3,AL011,Dibër,EUR2015,,,,,,,,,,,,,,,,,666.58,604.84,670.31,772.51,840.16,927.06,991.89,1068.77,1153.91,1248.46,1359.82,1486.86,1672.57,1812.14,2015.88,1935.05,2247.74,2301.13,2401.09,2578.24,2756.05,2829.1,3037.43,3007.41,2871.83,3194.48,3446.84,3838.49,4028.06,4212.0,4380.95
2021,3,AL012,Durrës,EUR2015,,,,,,,,,,,,,,,,,1871.17,1656.59,1792.21,2014.91,2138.41,2283.83,2360.09,2470.47,2587.74,2706.82,2842.34,2992.14,3230.13,3311.64,3582.61,3413.45,3436.02,3454.77,3373.52,3596.69,3669.96,3866.59,3917.27,4081.47,3853.31,4265.98,4469.97,4917.2,5160.28,5395.64,5612.15
2021,3,AL013,Kukës,EUR2015,,,,,,,,,,,,,,,,,805.34,737.72,824.88,959.23,1053.44,1167.76,1246.85,1334.53,1429.53,1536.28,1663.16,1805.41,2018.53,2167.05,2322.0,2511.85,2480.16,2656.73,2358.16,2273.67,2271.82,2387.87,2537.99,2486.51,2489.65,2629.79,2800.38,3098.84,3252.15,3400.86,3537.13
2021,3,AL014,Lezhë,EUR2015,,,,,,,,,,,,,,,,,971.31,870.64,952.75,1084.77,1164.98,1263.8,1333.04,1423.69,1521.4,1627.32,1751.55,1887.17,2088.02,2185.32,2160.43,2159.28,2353.37,2271.55,2542.36,2594.63,2830.92,2798.06,2828.57,2968.94,2822.75,3071.1,3295.54,3665.07,3846.36,4021.92,4183.22
2021,3,AL015,Shkodër,EUR2015,,,,,,,,,,,,,,,,,974.12,878.66,968.33,1108.34,1197.77,1308.3,1385.01,1475.48,1569.31,1671.85,1792.96,1930.5,2136.5,2271.66,2475.92,2610.11,2576.78,2526.03,2477.89,2615.52,2742.41,2743.39,2867.02,2950.11,2830.96,3112.92,3316.81,3675.99,3857.89,4034.09,4195.89
2021,3,AL021,Elbasan,EUR2015,,,,,,,,,,,,,,,,,940.19,839.21,915.0,1036.95,1109.3,1206.09,1280.41,1373.2,1473.1,1582.23,1706.67,1843.96,2004.53,2141.19,2466.75,2379.14,2360.68,2537.72,2563.52,2479.77,2624.34,2655.5,2771.62,2818.77,2865.83,3140.7,3397.21,3774.36,3961.04,4141.83,4307.96
2021,3,AL022,Tiranë,EUR2015,,,,,,,,,,,,,,,,,3445.07,3011.08,3217.91,3575.63,3750.09,3942.15,3998.85,4110.92,4226.59,4350.79,4498.52,4661.67,4864.42,4952.98,4846.1,4735.64,4705.73,4632.56,4676.39,4913.01,4980.59,5271.77,5445.22,5516.62,5305.06,5848.99,6119.65,6693.14,7024.14,7344.64,7639.49
2021,3,AL031,Berat,EUR2015,,,,,,,,,,,,,,,,,894.94,809.69,895.07,1028.13,1114.62,1223.6,1305.74,1407.35,1517.76,1642.34,1788.01,1951.87,2170.44,2300.76,2511.07,2597.17,2418.44,2504.91,2659.94,2859.02,3081.01,3249.29,3279.49,3267.52,3326.43,3530.06,3821.05,4260.74,4471.48,4675.27,4862.82
2021,3,AL032,Fier,EUR2015,,,,,,,,,,,,,,,,,1243.35,1110.58,1211.77,1374.14,1470.42,1596.42,1688.28,1805.06,1933.33,2075.06,2236.37,2415.13,2655.96,2654.71,2990.66,3455.38,3843.74,4062.72,4295.43,3955.18,3890.59,3959.11,4257.04,4497.13,4338.25,4751.78,5097.02,5661.65,5941.67,6212.69,6462.1
2021,3,AL033,Gjirokastër,EUR2015,,,,,,,,,,,,,,,,,803.61,737.8,828.99,967.5,1067.42,1187.9,1276.48,1386.96,1510.95,1649.22,1812.72,1998.25,2244.04,2403.05,2599.6,3177.93,3458.82,3449.42,3626.19,3569.35,3719.96,3833.98,4047.27,4283.11,4282.06,4541.12,4956.17,5537.37,5811.06,6076.5,6320.52
