nuts_code,region_name,country,country_code,nuts_level,year,manufacturing_pct_gdp,manufacturing_data_type,routine_services_share_of_national_pct,kis_pct_employment,kis_data_type
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2000,13.2,Actual,19.996,24.5,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2001,13.5,Actual,20.182,24.84,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2002,13.0,Actual,20.438,25.18,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2003,13.4,Actual,20.755999999999997,25.52,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2004,13.8,Actual,21.011999999999997,25.86,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2005,14.1,Actual,20.976999999999997,26.2,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2006,14.5,Actual,21.101,26.55,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2007,14.7,Actual,21.159999999999997,26.89,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2008,14.3,Actual,21.150999999999996,27.23,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2009,13.1,Actual,21.051,27.57,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2010,13.5,Actual,20.820999999999994,27.91,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2011,13.8,Actual,20.750999999999998,28.25,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2012,12.8,Actual,20.707,28.59,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2013,12.9,Actual,20.707,28.93,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2014,12.5,Actual,20.707,29.27,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2015,12.3,Actual,20.707,29.61,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2016,12.0,Actual,20.741999999999997,29.95,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2017,12.4,Actual,20.625999999999998,30.3,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2018,12.7,Actual,20.604999999999997,30.64,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2019,12.6,Actual,20.755,30.98,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2020,12.1,Actual,20.122999999999998,31.32,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2021,13.2,Actual,20.386999999999997,31.66,Backcast_estimate
BA000,Bosnia & Herzegovina,Bosnia & Herzegovina,BA,0,2022,13.0,Actual,20.542999999999996,32.0,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2000,13.3,Estimated,19.7,27.0,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2001,13.6,Estimated,20.0,27.32,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2002,13.1,Estimated,20.3,27.64,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2003,13.5,Estimated,20.7,27.95,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2004,13.9,Estimated,21.0,28.27,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2005,14.2,Estimated,21.0,28.59,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2006,14.6,Estimated,21.2,28.91,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2007,14.8,Estimated,21.3,29.23,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2008,14.4,Estimated,21.3,29.55,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2009,13.1,Estimated,21.2,29.86,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2010,13.5,Estimated,20.9,30.18,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2011,13.8,Estimated,20.9,30.5,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2012,12.8,Estimated,20.9,30.82,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2013,12.9,Estimated,20.9,31.14,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2014,12.5,Estimated,20.9,31.45,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2015,12.3,Estimated,20.9,31.77,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2016,12.0,Estimated,20.9,32.09,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2017,12.4,Estimated,20.6,32.41,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2018,12.7,Estimated,20.5,32.73,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2019,12.6,Estimated,20.6,33.05,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2020,12.1,Estimated,20.0,33.36,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2021,13.2,Estimated,20.2,33.68,Backcast_estimate
BA100,Federation of BiH,Bosnia & Herzegovina,BA,1,2022,13.0,Estimated,20.4,34.0,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2000,12.9,Estimated,20.4,22.7,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2001,13.2,Estimated,20.4,23.06,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2002,12.7,Estimated,20.6,23.43,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2003,13.1,Estimated,20.8,23.79,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2004,13.5,Estimated,21.0,24.15,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2005,13.8,Estimated,20.9,24.52,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2006,14.2,Estimated,20.9,24.88,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2007,14.4,Estimated,20.9,25.25,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2008,14.0,Estimated,20.9,25.61,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2009,13.0,Estimated,20.8,25.97,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2010,13.4,Estimated,20.7,26.34,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2011,13.7,Estimated,20.5,26.7,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2012,12.7,Estimated,20.4,27.06,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2013,12.8,Estimated,20.4,27.43,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2014,12.4,Estimated,20.4,27.79,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2015,12.2,Estimated,20.4,28.15,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2016,11.9,Estimated,20.5,28.52,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2017,12.3,Estimated,20.7,28.88,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2018,12.6,Estimated,20.8,29.25,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2019,12.5,Estimated,21.0,29.61,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2020,12.0,Estimated,20.3,29.97,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2021,13.1,Estimated,20.7,30.34,Backcast_estimate
BA200,Republika Srpska,Bosnia & Herzegovina,BA,1,2022,12.9,Estimated,20.8,30.7,Backcast_estimate
BA300,Brcko District,Bosnia & Herzegovina,BA,1,2000,13.1,Estimated,21.4,24.8,Backcast_estimate
BA300,Brcko District,Bosnia & Herzegovina,BA,1,2001,13.4,Estimated,21.4,25.14,Backcast_estimate
